question,resolution,date_begin,date_resolve_at,baseline_strength,baseline_brier,conversational_strength,conversational_brier
"Will Google still be the most popular search engine at the end of 2024?",1,2023-01-29,2025-01-01,0.937,0.003968999999999993,0.5,0.25
"Will the Ukraine war end by 2025?",0,2023-01-16,2025-01-01,0.283,0.08008899999999998,0.5,0.25
"Will the winner of the electoral college also win the popular vote in 2024?",1,2023-01-29,2024-11-07,0.759,0.058080999999999994,0.5,0.25
"Will Scott Alexander endorse a presidential candidate in 2024?",0,2023-01-04,2024-11-07,0.468,0.21902400000000002,0.5,0.25
"Will a Democrat win the US 2024 presidential election?",0,2023-01-21,2024-11-06,0.593,0.351649,0.5,0.25
"Will Republicans take the majority in the US Senate in 2024?",1,2023-01-05,2024-11-06,0.813,0.03496900000000002,0.5,0.25
"Will AI be a major topic during the 2024 presidential debates in the United States? (please read criteria)",0,2023-01-23,2024-11-04,0.471,0.22184099999999998,0.5,0.25
"Will the proposed TikTok ban pass in the Senate?",1,2023-01-08,2024-04-23,0.167,0.693889,0.5,0.25
"Is GPT-4 a mixture of experts?",1,2023-01-06,2024-03-19,0.922,0.006083999999999993,0.5,0.25
"Will the TikTok ban pass the House?",1,2023-01-08,2024-03-13,0.358,0.41216400000000003,0.5,0.25
"Will the Doomsday Clock advance toward midnight in/by January 2024",0,2023-01-21,2024-01-23,0.698,0.4872039999999999,0.5,0.25
"Will YouTube Music be discontinued before 2024?",0,2023-01-10,2024-01-02,0.014,0.00019600000000000002,0.5,0.25
"Will Manifold Markets have a Wikipedia page this year?",0,2023-01-31,2024-01-02,0.729,0.5314409999999999,0.5,0.25
"Will the Russia-Ukraine war end by 2024?",0,2023-01-23,2024-01-01,0.022,0.00048399999999999995,0.5,0.25
"Will Saudi Arabia abandon (or vastly scale back) the NEOM linear city project by 2028?",1,2023-02-18,2025-05-30,0.538,0.21344399999999997,0.5,0.25
"By 2025, will at least one song in the Billboard Hot 100 have been primarily AI-generated?",0,2023-02-07,2025-02-13,0.508,0.258064,0.5,0.25
"Will we have end to end AI generated anime series by the end of 2024?",0,2023-02-27,2025-02-04,0.31,0.0961,0.5,0.25
"Will language models or similar natural language processing technologies, such as ChatGPT, be integrated into dialogue trees for NPCs in triple-A games by the end of 2024",0,2023-02-22,2025-01-20,0.154,0.023716,0.5,0.25
"Will Joe Biden openly convert to EA by the end of his current term",0,2023-02-11,2025-01-20,0.034,0.0011560000000000001,0.5,0.25
"Will all living current and past presidents attend Jimmy Carter's funeral?",1,2023-02-18,2025-01-09,0.128,0.760384,0.5,0.25
"Are we about to hit another AI winter?",0,2023-02-16,2025-01-03,0.126,0.015876,0.5,0.25
"Will Google search default to a chatbot like interface by end of 2024?",0,2023-02-06,2025-01-02,0.263,0.06916900000000001,0.5,0.25
"Will I be able to order a self-driving taxi without a steering wheel by end of 2024?",0,2023-02-21,2025-01-02,0.219,0.047961,0.5,0.25
"Will CGP Grey make a video that references prediction markets before the end of 2024?",0,2023-02-07,2025-01-02,0.28,0.07840000000000001,0.5,0.25
"Will Binance collapse before the end of 2024?",0,2023-02-01,2025-01-01,0.212,0.044944,0.5,0.25
"Will there be a new major longtermist funder before the end of 2024?",0,2023-02-01,2025-01-01,0.342,0.11696400000000001,0.5,0.25
"Will Vladimir Putin be the President of Russia at the end of 2024?",1,2023-02-28,2024-12-31,0.9,0.009999999999999995,0.5,0.25
"Now that Joe Biden has begun running for the 2024 Democratic Nomination, will he be the nominee?",0,2023-02-21,2024-08-20,0.85,0.7224999999999999,0.5,0.25
"Will Joe Biden forget what he was saying during an election debate before 2025?",1,2023-02-10,2024-07-21,0.805,0.03802499999999998,0.5,0.25
"Will Ron DeSantis win at least one state in the Republican primaries?",0,2023-02-14,2024-06-14,0.383,0.146689,0.5,0.25
"Will someone other than Joe Biden win at least one state in the 2024 Democratic Primary?",0,2023-02-14,2024-06-05,0.302,0.091204,0.5,0.25
"Will GPT-4 have over 1 trillion parameters?",1,2023-02-04,2024-03-19,0.558,0.19536399999999995,0.5,0.25
"Will I manage to do a one-arm pull up by end of February 2024",0,2023-02-09,2024-02-29,0.378,0.142884,0.5,0.25
"Will an accredited US college or university have taught a course on prompt-engineering for credit before 2024?",0,2023-02-26,2024-02-05,0.034,0.0011560000000000001,0.5,0.25
"Will the groundhog see its shadow on Groundhog's Day 2024?",0,2023-02-02,2024-02-02,0.83,0.6889,0.5,0.25
"Will Destiny talk with MrGirl by the end of the year?",0,2023-02-09,2024-01-02,0.028,0.0007840000000000001,0.5,0.25
"Will Destiny become friends with Keffals?",0,2023-02-18,2024-01-01,0.2,0.04000000000000001,0.5,0.25
"Will there be an anti-AI terrorist incident before 2024?",0,2023-02-26,2024-01-01,0.02,0.0004,0.5,0.25
"Will I get a girlfriend this year?",0,2023-02-02,2024-01-01,0.058,0.0033640000000000002,0.5,0.25
"Will Google send Bard to the graveyard before 2024?",0,2023-02-09,2024-01-01,0.014,0.00019600000000000002,0.5,0.25
"Will there be significant social unrest, protests, riots, etc. over the results of the 2024 presidential election?",0,2023-03-17,2025-02-18,0.662,0.438244,0.5,0.25
"Will Trump do time?",0,2023-03-20,2025-02-01,0.36,0.1296,0.5,0.25
"Will AI spread through malware before 2025?",0,2023-03-17,2025-01-06,0.225,0.050625,0.5,0.25
"Will an AI get a perfect SAT score before 2025?",0,2023-03-17,2025-01-06,0.834,0.695556,0.5,0.25
"By 2025, will Google be in a winning position in the ""AI war"" against Microsoft?",0,2023-03-21,2025-01-06,0.449,0.201601,0.5,0.25
"Will there ever be more Google search volume about AI Alignment than about Light Pollution, for any day before EOY 2024?",0,2023-03-06,2025-01-05,0.264,0.06969600000000001,0.5,0.25
"Will Kurzgesagt release a video specifically about the AI Alignment Problem before the end of 2024?",0,2023-03-06,2025-01-05,0.773,0.597529,0.5,0.25
"Will CGP Grey make a video about prediction markets before the end of 2024?",0,2023-03-28,2025-01-01,0.16,0.0256,0.5,0.25
"Will OpenAI + an AI alignment organization announce a major breakthrough in AI alignment? (2024)",0,2023-03-26,2025-01-01,0.587,0.34456899999999996,0.5,0.25
"Will GPT-5 be released before 2025?",0,2023-03-17,2025-01-01,0.549,0.30140100000000003,0.5,0.25
"GPT-5 by 2025?",0,2023-03-09,2025-01-01,0.742,0.5505639999999999,0.5,0.25
"Will Nintendo release a successor to their Switch console before the end of 2024?",0,2023-03-04,2024-12-31,0.811,0.6577210000000001,0.5,0.25
"Recession in 2024?",0,2023-03-27,2024-12-19,0.442,0.195364,0.5,0.25
"Will the Democrats win a majority in the House of Representatives in the 2024 elections?",0,2023-03-18,2024-11-15,0.643,0.413449,0.5,0.25
"Will $TSLA close above $300 per share by December 30 2025?",1,2023-03-14,2024-11-08,0.852,0.021904000000000007,0.5,0.25
"Will the Democrats win the 2024 US Presidential election?",0,2023-03-11,2024-11-06,0.574,0.32947599999999994,0.5,0.25
"Will Joe Biden literally run in 2024?",1,2023-03-31,2024-10-26,0.543,0.20884899999999995,0.5,0.25
"Will the United States of America win the most Gold medals at the 2024 Summer Olympics in Paris?",1,2023-03-13,2024-08-11,0.816,0.03385600000000002,0.5,0.25
"Will Nintendo release a successor to their Switch console before the end of June, 2024?",0,2023-03-04,2024-07-02,0.194,0.037636,0.5,0.25
"Will GPT-5 be released before July 2024?",0,2023-03-17,2024-07-01,0.135,0.018225,0.5,0.25
"Will Donald Trump be convicted of any crime by the end of 2024?",1,2023-03-18,2024-05-31,0.758,0.058564,0.5,0.25
"Will Donald Trump be the 2024 Republican nominee for president?",1,2023-03-19,2024-03-13,0.708,0.08526400000000002,0.5,0.25
"Will anyone other than Trump or DeSantis win a state in the 2024 Republican primaries?",1,2023-03-20,2024-03-06,0.554,0.19891599999999995,0.5,0.25
"Will the Vesuvius Challenge grand prize be claimed?",1,2023-03-15,2024-02-05,0.689,0.09672100000000003,0.5,0.25
"Will a GPT4-equivalent model be able to run on consumer hardware before 2024?",0,2023-03-29,2024-01-06,0.055,0.003025,0.5,0.25
"Will there be a million dollar mistake publicly blamed on ChatGPT before 2024?",0,2023-03-04,2024-01-03,0.032,0.001024,0.5,0.25
"Will Destiny sue Lav?",0,2023-03-29,2024-01-01,0.486,0.236196,0.5,0.25
"Will Donald Trump insult Ron DeSantis' wife?",0,2023-03-22,2024-01-01,0.069,0.0047610000000000005,0.5,0.25
"Will Sam Altman be the CEO of OpenAI on January 1st 2024?",1,2023-03-03,2024-01-01,0.765,0.055224999999999996,0.5,0.25
"Will any top AI lab commit to a moratorium on giant AI experiments before 2024?",0,2023-03-28,2024-01-01,0.042,0.0017640000000000002,0.5,0.25
"Will Donald Trump call Ron DeSantis a pedophile or homosexual as the temperature rises between them?",0,2023-03-22,2024-01-01,0.03,0.0009,0.5,0.25
"Will bitcoin be over $100k on April 5, 2025?",0,2023-04-04,2025-04-06,0.383,0.146689,0.5,0.25
"Will there be a OpenAI LLM known as GPT-4.5? by 2033",1,2023-04-02,2025-02-12,0.734,0.07075600000000001,0.5,0.25
"Will Vladimir Putin step foot in Ukraine by the end of 2024?",0,2023-04-30,2025-01-21,0.731,0.534361,0.5,0.25
"Will Joe Biden say the word “peanut” while giving Jimmy Carter’s Eulogy?",0,2023-04-03,2025-01-11,0.762,0.580644,0.5,0.25
"Will Google have a better LLM than OpenAI by 2025?",0,2023-04-01,2025-01-02,0.332,0.11022400000000002,0.5,0.25
"Will the five most valuable members of the S&P 500 be more than 21% of the index's value in 2025?",1,2023-04-30,2025-01-02,0.714,0.08179600000000002,0.5,0.25
"Will AI be able to solve confusing but elementary geometric reasoning problems in 2024?",0,2023-04-16,2025-01-01,0.566,0.3203559999999999,0.5,0.25
"Will Twitter still exist as ""Twitter""? (2024)",0,2023-04-02,2025-01-01,0.206,0.042435999999999995,0.5,0.25
"Will Joe Biden openly convert to EA by the end of his current term",0,2023-02-11,2025-01-20,0.034,0.0011560000000000001,0.5,0.25
"Will all living current and past presidents attend Jimmy Carter's funeral?",1,2023-02-18,2025-01-09,0.128,0.760384,0.5,0.25
"Are we about to hit another AI winter?",0,2023-02-16,2025-01-03,0.126,0.015876,0.5,0.25
"Will Google search default to a chatbot like interface by end of 2024?",0,2023-02-06,2025-01-02,0.263,0.06916900000000001,0.5,0.25
"Will I be able to order a self-driving taxi without a steering wheel by end of 2024?",0,2023-02-21,2025-01-02,0.219,0.047961,0.5,0.25
"Will CGP Grey make a video that references prediction markets before the end of 2024?",0,2023-02-07,2025-01-02,0.28,0.07840000000000001,0.5,0.25
"Will Binance collapse before the end of 2024?",0,2023-02-01,2025-01-01,0.212,0.044944,0.5,0.25
"Will there be a new major longtermist funder before the end of 2024?",0,2023-02-01,2025-01-01,0.342,0.11696400000000001,0.5,0.25
"Will Vladimir Putin be the President of Russia at the end of 2024?",1,2023-02-28,2024-12-31,0.9,0.009999999999999995,0.5,0.25
"Now that Joe Biden has begun running for the 2024 Democratic Nomination, will he be the nominee?",0,2023-02-21,2024-08-20,0.85,0.7224999999999999,0.5,0.25
"Will Joe Biden forget what he was saying during an election debate before 2025?",1,2023-02-10,2024-07-21,0.805,0.03802499999999998,0.5,0.25
"Will Ron DeSantis win at least one state in the Republican primaries?",0,2023-02-14,2024-06-14,0.383,0.146689,0.5,0.25
"Will someone other than Joe Biden win at least one state in the 2024 Democratic Primary?",0,2023-02-14,2024-06-05,0.302,0.091204,0.5,0.25
"Will GPT-4 have over 1 trillion parameters?",1,2023-02-04,2024-03-19,0.558,0.19536399999999995,0.5,0.25
"Will I manage to do a one-arm pull up by end of February 2024",0,2023-02-09,2024-02-29,0.378,0.142884,0.5,0.25
"Will an accredited US college or university have taught a course on prompt-engineering for credit before 2024?",0,2023-02-26,2024-02-05,0.034,0.0011560000000000001,0.5,0.25
"Will the groundhog see its shadow on Groundhog's Day 2024?",0,2023-02-02,2024-02-02,0.83,0.6889,0.5,0.25
"Will Destiny talk with MrGirl by the end of the year?",0,2023-02-09,2024-01-02,0.028,0.0007840000000000001,0.5,0.25
"Will Destiny become friends with Keffals?",0,2023-02-18,2024-01-01,0.2,0.04000000000000001,0.5,0.25
"Will there be an anti-AI terrorist incident before 2024?",0,2023-02-26,2024-01-01,0.02,0.0004,0.5,0.25
"Will I get a girlfriend this year?",0,2023-02-02,2024-01-01,0.058,0.0033640000000000002,0.5,0.25
"Will Google send Bard to the graveyard before 2024?",0,2023-02-09,2024-01-01,0.014,0.00019600000000000002,0.5,0.25
"Will there be significant social unrest, protests, riots, etc. over the results of the 2024 presidential election?",0,2023-03-17,2025-02-18,0.662,0.438244,0.5,0.25
"Will Trump do time?",0,2023-03-20,2025-02-01,0.36,0.1296,0.5,0.25
"Will AI spread through malware before 2025?",0,2023-03-17,2025-01-06,0.225,0.050625,0.5,0.25
"Will an AI get a perfect SAT score before 2025?",0,2023-03-17,2025-01-06,0.834,0.695556,0.5,0.25
"By 2025, will Google be in a winning position in the ""AI war"" against Microsoft?",0,2023-03-21,2025-01-06,0.449,0.201601,0.5,0.25
"Will there ever be more Google search volume about AI Alignment than about Light Pollution, for any day before EOY 2024?",0,2023-03-06,2025-01-05,0.264,0.06969600000000001,0.5,0.25
"Will Kurzgesagt release a video specifically about the AI Alignment Problem before the end of 2024?",0,2023-03-06,2025-01-05,0.773,0.597529,0.5,0.25
"Will CGP Grey make a video about prediction markets before the end of 2024?",0,2023-03-28,2025-01-01,0.16,0.0256,0.5,0.25
"Will OpenAI + an AI alignment organization announce a major breakthrough in AI alignment? (2024)",0,2023-03-26,2025-01-01,0.587,0.34456899999999996,0.5,0.25
"Will GPT-5 be released before 2025?",0,2023-03-17,2025-01-01,0.549,0.30140100000000003,0.5,0.25
"GPT-5 by 2025?",0,2023-03-09,2025-01-01,0.742,0.5505639999999999,0.5,0.25
"Will Nintendo release a successor to their Switch console before the end of 2024?",0,2023-03-04,2024-12-31,0.811,0.6577210000000001,0.5,0.25
"Recession in 2024?",0,2023-03-27,2024-12-19,0.442,0.195364,0.5,0.25
"Will the Democrats win a majority in the House of Representatives in the 2024 elections?",0,2023-03-18,2024-11-15,0.643,0.413449,0.5,0.25
"Will $TSLA close above $300 per share by December 30 2025?",1,2023-03-14,2024-11-08,0.852,0.021904000000000007,0.5,0.25
"Will the Democrats win the 2024 US Presidential election?",0,2023-03-11,2024-11-06,0.574,0.32947599999999994,0.5,0.25
"Will Joe Biden literally run in 2024?",1,2023-03-31,2024-10-26,0.543,0.20884899999999995,0.5,0.25
"Will the United States of America win the most Gold medals at the 2024 Summer Olympics in Paris?",1,2023-03-13,2024-08-11,0.816,0.03385600000000002,0.5,0.25
"Will Nintendo release a successor to their Switch console before the end of June, 2024?",0,2023-03-04,2024-07-02,0.194,0.037636,0.5,0.25
"Will GPT-5 be released before July 2024?",0,2023-03-17,2024-07-01,0.135,0.018225,0.5,0.25
"Will Donald Trump be convicted of any crime by the end of 2024?",1,2023-03-18,2024-05-31,0.758,0.058564,0.5,0.25
"Will Donald Trump be the 2024 Republican nominee for president?",1,2023-03-19,2024-03-13,0.708,0.08526400000000002,0.5,0.25
"Will anyone other than Trump or DeSantis win a state in the 2024 Republican primaries?",1,2023-03-20,2024-03-06,0.554,0.19891599999999995,0.5,0.25
"Will the Vesuvius Challenge grand prize be claimed?",1,2023-03-15,2024-02-05,0.689,0.09672100000000003,0.5,0.25
"Will a GPT4-equivalent model be able to run on consumer hardware before 2024?",0,2023-03-29,2024-01-06,0.055,0.003025,0.5,0.25
"Will there be a million dollar mistake publicly blamed on ChatGPT before 2024?",0,2023-03-04,2024-01-03,0.032,0.001024,0.5,0.25
"Will Destiny sue Lav?",0,2023-03-29,2024-01-01,0.486,0.236196,0.5,0.25
"Will Donald Trump insult Ron DeSantis' wife?",0,2023-03-22,2024-01-01,0.069,0.0047610000000000005,0.5,0.25
"Will Sam Altman be the CEO of OpenAI on January 1st 2024?",1,2023-03-03,2024-01-01,0.765,0.055224999999999996,0.5,0.25
"Will any top AI lab commit to a moratorium on giant AI experiments before 2024?",0,2023-03-28,2024-01-01,0.042,0.0017640000000000002,0.5,0.25
"Will Donald Trump call Ron DeSantis a pedophile or homosexual as the temperature rises between them?",0,2023-03-22,2024-01-01,0.03,0.0009,0.5,0.25
"Will bitcoin be over $100k on April 5, 2025?",0,2023-04-04,2025-04-06,0.383,0.146689,0.5,0.25
"Will there be a OpenAI LLM known as GPT-4.5? by 2033",1,2023-04-02,2025-02-12,0.734,0.07075600000000001,0.5,0.25
"Will Vladimir Putin step foot in Ukraine by the end of 2024?",0,2023-04-30,2025-01-21,0.731,0.534361,0.5,0.25
"Will Joe Biden say the word “peanut” while giving Jimmy Carter’s Eulogy?",0,2023-04-03,2025-01-11,0.762,0.580644,0.5,0.25
"Will Google have a better LLM than OpenAI by 2025?",0,2023-04-01,2025-01-02,0.332,0.11022400000000002,0.5,0.25
"Will the five most valuable members of the S&P 500 be more than 21% of the index's value in 2025?",1,2023-04-30,2025-01-02,0.714,0.08179600000000002,0.5,0.25
"Will AI be able to solve confusing but elementary geometric reasoning problems in 2024?",0,2023-04-16,2025-01-01,0.566,0.3203559999999999,0.5,0.25
"Will Twitter still exist as ""Twitter""? (2024)",0,2023-04-02,2025-01-01,0.206,0.042435999999999995,0.5,0.25
"Will a nuclear weapon be detonated in 2024?",0,2023-04-05,2025-01-01,0.205,0.04202499999999999,0.5,0.25
"Will AI be a major topic during the 2024 presidential debates in the United States?",0,2023-04-20,2024-11-13,0.425,0.18062499999999998,0.5,0.25
"Will Donald Trump win the 2024 US presidential election?",1,2023-04-27,2024-11-07,0.4,0.36,0.5,0.25
"Will the democratic party win the 2024 U.S. presidential election?",0,2023-04-27,2024-11-07,0.579,0.33524099999999996,0.5,0.25
"Will Destiny's Podcast last 20 episodes?",1,2023-04-10,2024-10-02,0.691,0.09548100000000004,0.5,0.25
"Will Robert F. Kennedy Jr. be the Democratic Party nominee for the 2024 U.S. presidential election?",0,2023-04-07,2024-08-06,0.005,2.5e-05,0.5,0.25
"Will Joe Biden win the 2024 US presidential election?",0,2023-04-27,2024-07-22,0.586,0.343396,0.5,0.25
"Will Joe Biden be reelected in 2024?",0,2023-04-16,2024-07-22,0.532,0.28302400000000005,0.5,0.25
"Will Biden be the 2024 Democratic Nominee?",0,2023-04-22,2024-07-21,0.825,0.6806249999999999,0.5,0.25
"There will be an open source LLM approximately as good or better than GPT4 before 2025",1,2023-04-01,2024-07-18,0.72,0.07840000000000001,0.5,0.25
"Will Vivek Ramaswamy be the Republican party's vice presidential nominee in 2024?",0,2023-04-04,2024-07-15,0.122,0.014884,0.5,0.25
"Will Rishi Sunak be replaced as Prime Minister of the United Kingdom before 1st October 2024? [10,000 Mana subsidy]",1,2023-04-17,2024-07-05,0.628,0.138384,0.5,0.25
"Will a UK General Election be held during Q2 2024?",0,2023-04-05,2024-05-22,0.472,0.22278399999999998,0.5,0.25
"Will Vivek Ramaswamy suspend his presidential campaign before the first Republican presidential primary votes are cast?",0,2023-04-03,2024-01-15,0.134,0.017956000000000003,0.5,0.25
"Will Apple launch a new IPad this year?",0,2023-04-14,2024-01-01,0.36,0.1296,0.5,0.25
"Will Apple sell more than 500k Vision Pro headsets before January 20th, 2025?",0,2023-05-20,2025-01-26,0.336,0.11289600000000001,0.5,0.25
"Will Tesla have a ChatGPT moment in self-driving cars by 2024 year-end?",0,2023-05-22,2025-01-04,0.277,0.07672900000000002,0.5,0.25
"Will Linda Yaccarino still be the CEO of Twitter by the end of 2024?",1,2023-05-12,2025-01-01,0.456,0.29593600000000003,0.5,0.25
"Will Xi Jinping visit the White House by the end of 2024?",0,2023-05-09,2024-12-31,0.232,0.053824000000000004,0.5,0.25
"Will AI wipe out humanity before the year 2025?",0,2023-05-09,2024-12-31,0.013,0.000169,0.5,0.25
"Will there be an AI language model that strongly surpasses ChatGPT and other OpenAI models before the end of 2024?",0,2023-05-01,2024-12-31,0.489,0.239121,0.5,0.25
"Will Trump win 2024 elections?",1,2023-05-08,2024-11-06,0.398,0.36240399999999995,0.5,0.25
"Will  Mike Pence endorse Trump?",0,2023-05-18,2024-11-06,0.252,0.063504,0.5,0.25
"Will the straw hats lose in the egghead arc like Kid and Law?",0,2023-05-08,2024-08-03,0.171,0.029241000000000003,0.5,0.25
"Will Linda Yaccarino be the CEO of Twitter on July 1, 2024?",1,2023-05-25,2024-07-01,0.651,0.12180099999999998,0.5,0.25
"Will  Nikki Haley endorse Trump?",1,2023-05-18,2024-05-22,0.651,0.12180099999999998,0.5,0.25
"Will Gemini be widely considered better than GPT-4?",0,2023-05-12,2024-03-05,0.372,0.138384,0.5,0.25
"Will Ukraine receive F-16s by the end of Jan 2024?",0,2023-05-20,2024-01-31,0.791,0.625681,0.5,0.25
"Will 'The Super Mario Bros. Movie' get nominated for an Oscar in any category at the 96th Academy Awards?",0,2023-05-02,2024-01-23,0.475,0.225625,0.5,0.25
"Will Oppenheimer gross more than $1 billion within the first six months of its release?",0,2023-05-17,2024-01-21,0.073,0.0053289999999999995,0.5,0.25
"Will Qorantos Grow As a Streamer this year?",0,2023-05-06,2024-01-02,0.019,0.000361,0.5,0.25
"Will I be convinced the spirit of Moore's Law is dead as of January 1, 2024?",1,2023-05-19,2024-01-01,0.873,0.016129,0.5,0.25
"Will an AI system be known to have resisted shutdown before 2024?",0,2023-05-31,2024-01-01,0.3,0.09,0.5,0.25
"Will Jimmy Carter be alive on January 1st, 2024",1,2023-05-02,2024-01-01,0.452,0.30030400000000007,0.5,0.25
"Is Saint Figarland Garling the father of Shanks?",1,2023-06-12,2025-04-06,0.753,0.061009,0.5,0.25
"Will the radical right AfD get more votes than the social democrats in Germany's next federal election?",1,2023-06-09,2025-02-24,0.315,0.46922500000000006,0.5,0.25
"Will Harvard Admit a Class that is More than 35% Asian by 2028?",1,2023-06-29,2025-02-15,0.639,0.130321,0.5,0.25
"Will Ukraine sever the land bridge between Crimea and Russia before 2025?",0,2023-06-13,2025-01-18,0.581,0.33756099999999994,0.5,0.25
"Will GPT-4's parameter count be known by end of 2024?",0,2023-06-03,2025-01-10,0.48,0.2304,0.5,0.25
"Will there be a very reliable way of reading human thoughts by the end of 2024?🧠🕵️",0,2023-06-18,2025-01-01,0.186,0.034596,0.5,0.25
"Will more than 100,000 voters decide the 2024 election?",1,2023-06-17,2024-12-16,0.7,0.09000000000000002,0.5,0.25
"Will Trump be convicted in federal court on any charge before the 2024 general election?",0,2023-06-08,2024-11-05,0.614,0.376996,0.5,0.25
"Will at least one person on board the Titan submersible be awarded a Darwin award?",0,2023-06-22,2024-09-30,0.149,0.022201,0.5,0.25
"Will China win the most gold medals at the 2024 Summer Olympics in Paris?",0,2023-06-29,2024-08-11,0.396,0.156816,0.5,0.25
"Will franky get any upgrades in Egg head??",0,2023-06-21,2024-08-03,0.304,0.092416,0.5,0.25
"Will the UFO retrieval program claims by whistleblower David Grusch be viewed as accurate in June of 2024?",0,2023-06-06,2024-07-25,0.063,0.003969,0.5,0.25
"Will Joe Biden drop out of the Presidential race before the election?",1,2023-06-21,2024-07-22,0.235,0.585225,0.5,0.25
"Will Donald Trump be admitted to a hospital for any reason by the end of 2024?",1,2023-06-28,2024-07-13,0.363,0.405769,0.5,0.25
"Do you think Imu will be revealed as a male?",1,2023-06-04,2024-06-25,0.647,0.12460899999999998,0.5,0.25
"Will the next State of the Union address mention UFOs?",0,2023-06-11,2024-03-09,0.099,0.009801,0.5,0.25
"Will Donald Trump lose a single state in the 2024 Republican primaries?",1,2023-06-06,2024-03-05,0.633,0.134689,0.5,0.25
"Will Elon Musk and Mark Zuckerberg officialy announce they're having a fight by January 2024?",0,2023-06-21,2024-02-01,0.646,0.417316,0.5,0.25
"Will there be a version of Apple Vision Pro that costs more than $3499 by the time we can order one?",1,2023-06-06,2024-01-19,0.525,0.225625,0.5,0.25
"Will Vivek Ramaswamy be one of the top three candidates in the 2024 Iowa Republican caucuses?",0,2023-06-12,2024-01-16,0.165,0.027225000000000003,0.5,0.25
"kizaru loses a fight during egghead",1,2023-06-02,2024-01-15,0.457,0.2948489999999999,0.5,0.25
"Will there be another mutiny in Russia before 2024?",0,2023-06-25,2024-01-01,0.024,0.000576,0.5,0.25
"Will claims of a ""retrieved craft of non-human origin"" be confirmed by the US government by the end of the year?",0,2023-06-05,2024-01-01,0.03,0.0009,0.5,0.25
"Will the right wing party AfD (Alternative für Deutschland) in Germany be above 20% in surveys at the end of the year?",1,2023-06-30,2024-01-01,0.927,0.0053289999999999935,0.5,0.25
"Will the 2024 election have higher turnout than 2020?",0,2023-07-23,2025-03-14,0.315,0.09922500000000001,0.5,0.25
"Will xAI AI be a Major AI Lab by 2025?",0,2023-07-15,2025-02-09,0.529,0.279841,0.5,0.25
"Will Nintendo's next console be backwards-compatible with most Nintendo Switch games?",1,2023-07-31,2025-01-16,0.732,0.07182400000000001,0.5,0.25
"Will a nuclear weapon be detonated in 2024?",0,2023-04-05,2025-01-01,0.205,0.04202499999999999,0.5,0.25
"Will AI be a major topic during the 2024 presidential debates in the United States?",0,2023-04-20,2024-11-13,0.425,0.18062499999999998,0.5,0.25
"Will Donald Trump win the 2024 US presidential election?",1,2023-04-27,2024-11-07,0.4,0.36,0.5,0.25
"Will the democratic party win the 2024 U.S. presidential election?",0,2023-04-27,2024-11-07,0.579,0.33524099999999996,0.5,0.25
"Will Destiny's Podcast last 20 episodes?",1,2023-04-10,2024-10-02,0.691,0.09548100000000004,0.5,0.25
"Will Robert F. Kennedy Jr. be the Democratic Party nominee for the 2024 U.S. presidential election?",0,2023-04-07,2024-08-06,0.005,2.5e-05,0.5,0.25
"Will Joe Biden win the 2024 US presidential election?",0,2023-04-27,2024-07-22,0.586,0.343396,0.5,0.25
"Will Joe Biden be reelected in 2024?",0,2023-04-16,2024-07-22,0.532,0.28302400000000005,0.5,0.25
"Will Biden be the 2024 Democratic Nominee?",0,2023-04-22,2024-07-21,0.825,0.6806249999999999,0.5,0.25
"There will be an open source LLM approximately as good or better than GPT4 before 2025",1,2023-04-01,2024-07-18,0.72,0.07840000000000001,0.5,0.25
"Will Vivek Ramaswamy be the Republican party's vice presidential nominee in 2024?",0,2023-04-04,2024-07-15,0.122,0.014884,0.5,0.25
"Will Rishi Sunak be replaced as Prime Minister of the United Kingdom before 1st October 2024? [10,000 Mana subsidy]",1,2023-04-17,2024-07-05,0.628,0.138384,0.5,0.25
"Will a UK General Election be held during Q2 2024?",0,2023-04-05,2024-05-22,0.472,0.22278399999999998,0.5,0.25
"Will Vivek Ramaswamy suspend his presidential campaign before the first Republican presidential primary votes are cast?",0,2023-04-03,2024-01-15,0.134,0.017956000000000003,0.5,0.25
"Will Apple launch a new IPad this year?",0,2023-04-14,2024-01-01,0.36,0.1296,0.5,0.25
"Will Apple sell more than 500k Vision Pro headsets before January 20th, 2025?",0,2023-05-20,2025-01-26,0.336,0.11289600000000001,0.5,0.25
"Will Tesla have a ChatGPT moment in self-driving cars by 2024 year-end?",0,2023-05-22,2025-01-04,0.277,0.07672900000000002,0.5,0.25
"Will Linda Yaccarino still be the CEO of Twitter by the end of 2024?",1,2023-05-12,2025-01-01,0.456,0.29593600000000003,0.5,0.25
"Will Xi Jinping visit the White House by the end of 2024?",0,2023-05-09,2024-12-31,0.232,0.053824000000000004,0.5,0.25
"Will AI wipe out humanity before the year 2025?",0,2023-05-09,2024-12-31,0.013,0.000169,0.5,0.25
"Will there be an AI language model that strongly surpasses ChatGPT and other OpenAI models before the end of 2024?",0,2023-05-01,2024-12-31,0.489,0.239121,0.5,0.25
"Will Trump win 2024 elections?",1,2023-05-08,2024-11-06,0.398,0.36240399999999995,0.5,0.25
"Will  Mike Pence endorse Trump?",0,2023-05-18,2024-11-06,0.252,0.063504,0.5,0.25
"Will the straw hats lose in the egghead arc like Kid and Law?",0,2023-05-08,2024-08-03,0.171,0.029241000000000003,0.5,0.25
